Artist_name,No_of_purchases
"Ney Matogrosso",6
"Sandra De Sá",6
"Jorge Ben",6
"Hermeto Pascoal",6
"Barão Vermelho",6
Djavan,6
"Faith No More",6
"Jimi Hendrix",6
"João Suplicy",6
"Marvin Gaye",6
Passengers,6
"R.E.M. Feat. Kate Pearson",6
"R.E.M. Feat. KRS-One",6
R.E.M.,6
Rush,6
"Smashing Pumpkins",6
Whitesnake,6
"The Office",6
"Christina Aguilera featuring BigElf",6
"Aerosmith & Sierra Leone's Refugee Allstars",6
Scorpions,6
"Nega Gizza",6
Cake,6
"Karsh Kale",6
"Royal Philharmonic Orchestra & Sir Thomas Beecham",6
"Sergei Prokofiev & Yuri Temirkanov",6
"Chicago Symphony Orchestra & Fritz Reiner",6
"Choir Of Westminster Abbey & Simon Preston",6
"Michael Tilson Thomas & San Francisco Symphony",6
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",6
"The King's Singers",6
"Christopher O'Riley",6
"Black Label Society",5
"Bruce Dickinson",5
"João Gilberto",5
"Deep Purple",5
"Santana Feat. Everlast",5
"Santana Feat. Lauryn Hill & Cee-Lo",5
"Santana Feat. Eagle-Eye Cherry",5
"Dennis Chambers",5
"Eric Clapton",5
"Frank Sinatra",5
"Jota Quest",5
"Judas Priest",5
"Legião Urbana",5
"Lulu Santos",5
Motörhead,5
"O Terço",5
"Pearl Jam",5
"System Of A Down",5
"Terry Bozzio, Tony Levin & Steve Stevens",5
"The Tea Party",5
"The Who",5
"Dhani Harrison & Jakob Dylan",5
"Jack's Mannequin & Mick Fleetwood",5
"English Concert & Trevor Pinnock",5
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",5
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",5
"Mela Tenenbaum, Pro Musica Prague & Richard Kapp",5
BackBeat,4
"Body Count",4
"Baby Consuelo",4
"A Cor Do Som",4
"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto",4
"Santana Feat. Dave Matthews",4
"Santana Feat. Rob Thomas",4
"Santana Feat. The Project G&B",4
"Santana Feat. Maná",4
"Miles Davis",4
"Lenny Kravitz",4
"Marisa Monte",4
"Planet Hemp",4
Xis,4
"Gustavo & Andres Veiga & Salazar",4
"The Posies",4
"Academy of St. Martin in the Fields & Sir Neville Marriner",4
"Michele Campanella",4
"Gerald Moore",4
Aerosmith,3
"Buddy Guy",3
Santana,3
"The Black Crowes",3
Matisyahu,3
"Aisha Duo",3
"Habib Koité and Bamada",3
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",3
Accept,2
"Caetano Veloso",2
"Led Zeppelin",2
"Kid Abelha",2
Godsmack,2
"The Clash",2
"Snow Patrol",2
"Otto Klemperer & Philharmonia Orchestra",2
Metallica,1
"Jack Johnson",1
"Ben Harper",1
"Amy Winehouse",1
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",1
"Julian Bream",1
"Martin Roscoe",1
"Nash Ensemble",1
